acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
0.0547,https://api.spotify.com/v1/audio-analysis/4wmZtoif8SGm7PDqgKrEXr,0.813,104912,0.557,4wmZtoif8SGm7PDqgKrEXr,0.0,10,0.128,-6.655,0,0.133,83.012,4,https://api.spotify.com/v1/tracks/4wmZtoif8SGm7PDqgKrEXr,audio_features,spotify:track:4wmZtoif8SGm7PDqgKrEXr,0.764,Hip-Hop
0.212,https://api.spotify.com/v1/audio-analysis/1AX6Qj9QzpnchkwhsAqY3c,0.662,174133,0.599,1AX6Qj9QzpnchkwhsAqY3c,0.0,5,0.323,-9.316,1,0.0873,160.061,4,https://api.spotify.com/v1/tracks/1AX6Qj9QzpnchkwhsAqY3c,audio_features,spotify:track:1AX6Qj9QzpnchkwhsAqY3c,0.177,Hip-Hop
0.312,https://api.spotify.com/v1/audio-analysis/3lFVzMAOp2R6loNeAJ0ZPD,0.843,127994,0.622,3lFVzMAOp2R6loNeAJ0ZPD,4.04e-05,7,0.0651,-5.894,1,0.0531,125.972,4,https://api.spotify.com/v1/tracks/3lFVzMAOp2R6loNeAJ0ZPD,audio_features,spotify:track:3lFVzMAOp2R6loNeAJ0ZPD,0.435,Hip-Hop
0.0156,https://api.spotify.com/v1/audio-analysis/7yP65veNqfCOmc2j6vqmp6,0.916,220706,0.502,7yP65veNqfCOmc2j6vqmp6,0.0,8,0.0815,-9.389,1,0.393,144.008,4,https://api.spotify.com/v1/tracks/7yP65veNqfCOmc2j6vqmp6,audio_features,spotify:track:7yP65veNqfCOmc2j6vqmp6,0.374,Hip-Hop
0.26,https://api.spotify.com/v1/audio-analysis/5nLNuK7OoJt36gY9gWgnbo,0.748,193933,0.487,5nLNuK7OoJt36gY9gWgnbo,0.0,0,0.133,-9.462,1,0.233,103.885,4,https://api.spotify.com/v1/tracks/5nLNuK7OoJt36gY9gWgnbo,audio_features,spotify:track:5nLNuK7OoJt36gY9gWgnbo,0.704,Hip-Hop
0.381,https://api.spotify.com/v1/audio-analysis/2JhgWdWYaK81My49mZLTTE,0.927,158769,0.623,2JhgWdWYaK81My49mZLTTE,0.0,4,0.0666,-6.886,0,0.245,130.057,4,https://api.spotify.com/v1/tracks/2JhgWdWYaK81My49mZLTTE,audio_features,spotify:track:2JhgWdWYaK81My49mZLTTE,0.596,Hip-Hop
0.0329,https://api.spotify.com/v1/audio-analysis/2z6qIi4SPoxIcTMMAQpkSq,0.791,178000,0.561,2z6qIi4SPoxIcTMMAQpkSq,0.0,7,0.0471,-7.051,1,0.218,84.507,4,https://api.spotify.com/v1/tracks/2z6qIi4SPoxIcTMMAQpkSq,audio_features,spotify:track:2z6qIi4SPoxIcTMMAQpkSq,0.319,Hip-Hop
0.000523,https://api.spotify.com/v1/audio-analysis/5Ryu0SlsYjKh78RkJUONFr,0.829,170859,0.667,5Ryu0SlsYjKh78RkJUONFr,0.000521,9,0.048,-5.366,1,0.166,160.082,4,https://api.spotify.com/v1/tracks/5Ryu0SlsYjKh78RkJUONFr,audio_features,spotify:track:5Ryu0SlsYjKh78RkJUONFr,0.545,Hip-Hop
0.337,https://api.spotify.com/v1/audio-analysis/2HjqLdac973ETSnaarpOee,0.681,178244,0.698,2HjqLdac973ETSnaarpOee,0.0,6,0.0918,-9.779,0,0.29,139.949,4,https://api.spotify.com/v1/tracks/2HjqLdac973ETSnaarpOee,audio_features,spotify:track:2HjqLdac973ETSnaarpOee,0.545,Hip-Hop
0.0198,https://api.spotify.com/v1/audio-analysis/5O0aOOM4de60hINma1AB0k,0.57,146342,0.571,5O0aOOM4de60hINma1AB0k,0.0,9,0.104,-6.326,1,0.151,163.977,4,https://api.spotify.com/v1/tracks/5O0aOOM4de60hINma1AB0k,audio_features,spotify:track:5O0aOOM4de60hINma1AB0k,0.248,Hip-Hop
0.0144,https://api.spotify.com/v1/audio-analysis/2mM2XCzLaXtiKbqfFqtZOh,0.819,114201,0.699,2mM2XCzLaXtiKbqfFqtZOh,0.0,8,0.375,-7.291,0,0.0469,96.049,4,https://api.spotify.com/v1/tracks/2mM2XCzLaXtiKbqfFqtZOh,audio_features,spotify:track:2mM2XCzLaXtiKbqfFqtZOh,0.478,Hip-Hop
0.288,https://api.spotify.com/v1/audio-analysis/5RmUd1skWw9kMFlxPgfcYW,0.806,160812,0.665,5RmUd1skWw9kMFlxPgfcYW,0.0,6,0.0748,-7.464,0,0.132,98.426,4,https://api.spotify.com/v1/tracks/5RmUd1skWw9kMFlxPgfcYW,audio_features,spotify:track:5RmUd1skWw9kMFlxPgfcYW,0.502,Hip-Hop
0.000646,https://api.spotify.com/v1/audio-analysis/7agHHBRK0Tp1rH3G28QdFk,0.89,123333,0.519,7agHHBRK0Tp1rH3G28QdFk,0.0243,2,0.0679,-7.566,1,0.231,75.01,4,https://api.spotify.com/v1/tracks/7agHHBRK0Tp1rH3G28QdFk,audio_features,spotify:track:7agHHBRK0Tp1rH3G28QdFk,0.561,Hip-Hop
0.315,https://api.spotify.com/v1/audio-analysis/3a16cyvnuGsTWobb2Fv2hz,0.507,192167,0.676,3a16cyvnuGsTWobb2Fv2hz,2.39e-05,0,0.128,-6.845,1,0.254,179.898,4,https://api.spotify.com/v1/tracks/3a16cyvnuGsTWobb2Fv2hz,audio_features,spotify:track:3a16cyvnuGsTWobb2Fv2hz,0.359,Hip-Hop
0.111,https://api.spotify.com/v1/audio-analysis/2PI3qpTqYowwMzOSQRuj73,0.729,152920,0.503,2PI3qpTqYowwMzOSQRuj73,0.0,0,0.123,-8.229,1,0.081,134.927,4,https://api.spotify.com/v1/tracks/2PI3qpTqYowwMzOSQRuj73,audio_features,spotify:track:2PI3qpTqYowwMzOSQRuj73,0.152,Hip-Hop
0.0182,https://api.spotify.com/v1/audio-analysis/5qtUKYu1bBe0U7SoANInou,0.824,114049,0.601,5qtUKYu1bBe0U7SoANInou,0.0,5,0.111,-8.761,0,0.201,142.988,4,https://api.spotify.com/v1/tracks/5qtUKYu1bBe0U7SoANInou,audio_features,spotify:track:5qtUKYu1bBe0U7SoANInou,0.138,Hip-Hop
0.233,https://api.spotify.com/v1/audio-analysis/0TW6taayDd1AbcNVTgUXxK,0.798,165489,0.715,0TW6taayDd1AbcNVTgUXxK,0.00611,10,0.111,-4.423,0,0.0629,130.024,4,https://api.spotify.com/v1/tracks/0TW6taayDd1AbcNVTgUXxK,audio_features,spotify:track:0TW6taayDd1AbcNVTgUXxK,0.528,Hip-Hop
